OBJECTID,ECODE,Chapter,Region_Type,RCODE,Region,DCODE,Division,Chapter_Address,Chapter_Address_2,Chapter_City,Chapter_State,Chapter_Zip,Chapter_Phone,Time_Zone,FEMA_Region,Status,Score,Match_addr
23,05503,American Red Cross of the Bay Area,R,05R28,Northern California Coastal Region,D21,Pacific Division,1663 Market Street,0,San Francisco,CA,94103,415-427-8000,Pacific,IX,,,
24,06144,American Red Cross of Northern Colorado,C,06R08,Colorado and Wyoming Region,D22,Southwest and Rocky Mountain Division,1808 N Boise Ave,suite 110,Loveland,CO,80538,970-226-5728,Mountain,IX,,,
25,06164,American Red Cross of Western Colorado,C,06R08,Colorado and Wyoming Region,D22,Southwest and Rocky Mountain Division,506 Gunnison Ave.,0,Grand Junction,CO,81501,970-242-4851,Mountain,VIII,,,
26,06204,American Red Cross of Southeastern Colorado,C,06R08,Colorado and Wyoming Region,D22,Southwest and Rocky Mountain Division,1040 S. 8th Street,0,Colorado Springs,CO,80905,719-632-3563,Mountain,VIII,,,
27,08004,American Red Cross of Delmarva,C,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,100 West 10th St.,Suite 401,Wilmington,DE,19801,302-656-6620,Eastern,III,,,
28,10029,American Red Cross of Greater Orlando,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,5 N. Bumby Avenue,0,Orlando,FL,32803,407-894-4141,Eastern,IV,,,
29,10024,American Red Cross of Broward County,C,10R12,South Florida Region,D25,Southeast and Caribbean Division,600 NE 3rd Avenue,0,Ft. Lauderdale,FL,33304,954-797-3800,Eastern,IV,,,
30,10060,American Red Cross of Greater Miami and the Keys,C,10R12,South Florida Region,D25,Southeast and Caribbean Division,335 SW 27th Avenue,0,Miami,FL,33135,305-644-1200,Eastern,IV,,,
31,10090,American Red Cross of Mid Florida,C,10R12,South Florida Region,D25,Southeast and Caribbean Division,"147 Avenue A, NW",0,Winter Haven,FL,33881,863-294-5941,Eastern,IV,,,
32,10164,American Red Cross of Florida Gulf Coast to Heartland ,C,10R12,South Florida Region,D25,Southeast and Caribbean Division,7051 Cypress Terrace 110,0,Fort Myers,FL,33907,239-278-3401,Eastern,IV,,,
33,10091,American Red Cross of Tampa Bay,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,3310 W. Main Street,0,Tampa,FL,33607,813-348-4820,Eastern,IV,,,
34,10228,American Red Cross of Palm Beach and Treasure Coast,R,10R12,South Florida Region,D25,Southeast and Caribbean Division,1250 Northpoint Parkway,0,West Palm Beach,FL,33407,561-833-7711,Eastern,IV,,,
35,10198,American Red Cross of Northeast Florida,R,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,751 Riverside Ave.,0,Jacksonville,FL,32204,904-358-8091,Eastern,IV,,,
36,10240,American Red Cross of Northwest Florida,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,9111 Sturdevant Street,0,Pensacola,FL,32514,850-432-7601,Eastern,IV,,,
37,10296,American Red Cross of Capital Area Florida,C,10R08,North and Central Florida Region,D25,Southeast and Caribbean Division,1115 Easterwood Drive,0,Tallahassee,FL,32311,850-878-6080,Eastern,IV,,,
38,11008,American Red Cross of Southwest Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,6501 Veterans Parkway,#3B,Columbus,GA,31909,706-323-5614,Eastern,IV,,,
39,11364,American Red Cross of Central Midwest Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,900 Dallis Street,Suite C,LaGrange,GA,30240,706-884-5818,Eastern,IV,,,
40,11378,American Red Cross of Greater Atlanta,R,11R04,Georgia Region,D25,Southeast and Caribbean Division,"1955 Monroe Drive, NE",0,Atlanta,GA,30324,404-876-3302,Eastern,IV,,,
41,11472,American Red Cross of Southeast Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,41 Park of Commerce Way,Bldg 200,Savannah,GA,31405,912-651-5300,Eastern,IV,,,
42,11542,American Red Cross of South Central Georgia,C,11R04,Georgia Region,D25,Southeast and Caribbean Division,385 Connell Rd.,0,Valdosta,GA,31602,229-242-7404,Eastern,IV,,,
43,13054,American Red Cross of Central Illinois,C,13R04,Illinois Region,D23,North Central Division,311 W John H Gwynn Jr Ave.,0,Peoria,IL,61605,309-677-7272,Central,V,,,
44,13364,American Red Cross the Quad Cities and West Central Illinois,C,13R04,Illinois Region,D23,North Central Division,1100 River Drive,0,Moline,IL,61265,309-743-2166,Central,V,,,
45,14006,American Red Cross of Northeast Indiana,C,14R12,Indiana Region,D23,North Central Division,1212 E Calfornia Road,0,Fort Wayne,IN,46825,260-484-9336,Eastern,V,,,
46,14026,American Red Cross of Northwest Indiana,C,14R12,Indiana Region,D23,North Central Division,791 E 83rd Ave,0,Merrillville,IN,46410,219-756-5360,Eastern,V,,,
47,14088,American Red Cross of Southeast Indiana,C,14R12,Indiana Region,D23,North Central Division,441 S. College Ave,0,Bloomington,IN,47403,812-332-7292,Eastern,V,,,
48,14340,American Red Cross of Greater Indianapolis,R,14R12,Indiana Region,D23,North Central Division,1510 N. Meridian Street,0,Indianapolis,IN,46202,888-684-1441,Eastern,V,,,
49,15148,American Red Cross of Eastern Iowa,C,15R08,Nebraska Iowa Region,D23,North Central Division,317 7th Ave SE,Ste. 205,Cedar Rapids,IA,52401,319-393-3500,Central,VII,,,
50,15080,American Red Cross of Northern and Central Iowa,C,15R08,Nebraska Iowa Region,D23,North Central Division,2116 Grand Avenue,0,Des Moines,IA,50312,515-243-7681,Central,VII,,,
51,17052,American Red Cross of South Central Kentucky,C,17R08,Kentucky Region,D24,Central Atlantic Division,958 Collett Avenue,Suite 800,Bowling Green,KY,42101,270-781-7377,Central,IV,,,
52,17340,American Red Cross Louisville Area,R,17R08,Kentucky Region,D24,Central Atlantic Division,510 E Chestnut St.,0,Louisville,KY,40202,502-589-4450,Eastern,IV,,,
53,17381,American Red Cross of Western Kentucky,C,17R08,Kentucky Region,D24,Central Atlantic Division,1700 Frederica St,Suite 105,Owensboro,KY,42301,270-693-2438,Central,IV,,,
54,18142,American Red Cross of North Louisiana,C,18R08,Louisiana Region,D22,Southwest and Rocky Mountain Division,805 Brook Hollow Drive,0,Shreveport,LA,71105,318-865-9545,Central,VI,,,
55,18206,American Red Cross of Southeast Louisiana,R,18R08,Louisiana Region,D22,Southwest and Rocky Mountain Division,2640 Canal Street,0,New Orleans,LA,70119,504-620-3105,Central,VI,,,
56,19010,American Red Cross of Central and Mid Coast Maine,C,29R04,Northern New England Region,D27,Northeast Division,16 Community Way,0,Topsham,ME,04086,207-729-6779,Eastern,I,,,
57,19096,American Red Cross of Northern and Eastern Maine,C,29R04,Northern New England Region,D27,Northeast Division,145 Exchange St.,0,Bangor,ME,04401,207-874-1192,Eastern,I,,,
58,20012,American Red Cross of Central Maryland,C,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,4800 Mount Hope Drive,0,Baltimore,MD,21215,410-624-2000,Eastern,III,,,
59,19104,American Red Cross of Southern Maine,C,29R04,Northern New England Region,D27,Northeast Division,2401 Congress St.,0,Portland,ME,04102,207-874-1192,Eastern,I,,,
60,20044,"American Red Cross of Montgomery, Howard and Frederick Counties",C,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,2020 E W Hwy,0,Silver Springs,MD,20910,301-588-2515,Eastern,III,,,
61,20032,American Red Cross of Southern Maryland,C,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,80 West Street,Suite A,Annapolis,MD,21401,410-624-2000,Eastern,III,,,
62,21115,American Red Cross of Northeast MA,C,21R04,Massachusetts Region,D27,Northeast Division,60 Island Street,0,Lawrence,MA,01840,978-922-2224,Eastern,I,,,
63,21064,American Red Cross of Southeastern MA,C,21R04,Massachusetts Region,D27,Northeast Division,286 South St.,0,Hyannis,MA,02601,508-775-1540,Eastern,I,,,
64,21254,American Red Cross of Central and Western MA,C,21R04,Massachusetts Region,D27,Northeast Division,150 Brookdale Drive,0,Springfield,MA,01104,508-595-3700,Eastern,I,,,
65,22108,American Red Cross of East Central Bay Michigan,C,22R08,Michigan Region,D23,North Central Division,1401 S. Grand Traverse St,0,Flint,MI,48503,810-232-1401,Eastern,V,,,
66,22178,American Red Cross of West Michigan,C,22R08,Michigan Region,D23,North Central Division,1050 Fuller Avenue NE,0,Grand Rapids,MI,49503,616-456-8661,Eastern,V,,,
67,22234,American Red Cross of Mid Michigan,C,22R08,Michigan Region,D23,North Central Division,1800 E. Grand River Ave,0,Lansing,MI,48912,517-484-7461,Eastern,V,,,
68,22216,American Red Cross of Northern Michigan,C,22R08,Michigan Region,D23,North Central Division,"735 S Garfield Ave, #B100,",0,Traverse City,MI,49686,231-947-7286,Eastern,V,,,
69,22322,American Red Cross of Southeast Michigan,R,22R08,Michigan Region,D23,North Central Division,7800 Outer Drive West,Ste 205,Detroit,MI,48235,313-833-4440,Eastern,V,,,
70,23193,American Red Cross serving Twin Cities Area,R,23R12,Minnesota and Dakotas Region,D23,North Central Division,1201 West River Parkway,0,Minneapolis,MN,55454,612-871-7676,Central,V,,,
71,23294,American Red Cross serving Southern Minnesota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,305 Alliance Place NE,0,Rochester,MN,55906,507-287-2200,Central,V,,,
72,24045,American Red Cross of Southwest Mississippi,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,9 River Bend Place,0,Flowood,MS,39232,601-353-5442,Central,IV,,,
73,24277,American Red Cross of Southeast Mississippi,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,612 E Pass Road,0,Gulfport,MS,39507,228-896-4511,Central,IV,,,
74,27186,American Red Cross of Omaha Council Bluffs and Southwest Iowa,R,15R08,Nebraska Iowa Region,D23,North Central Division,2912 S. 80th Ave.,0,Omaha,NE,68124,402-343-7700,Central,VII,,,
75,27172,American Red Cross of Central and Western Nebraska,C,15R08,Nebraska Iowa Region,D23,North Central Division,404 East Third St.,0,Grand Island,NE,68801,308-382-3790,Central,VII,,,
76,29020,American Red Cross of New Hampshire,R,29R04,Northern New England Region,D27,Northeast Division,2 Maitland Street,0,Concord,NH,03301,603-225-6697,Eastern,I,,,
77,28066,American Red Cross of Northern Nevada,C,44R04,Utah and Nevada Region,D22,Southwest and Rocky Mountain Division,4750 Longley Lane,Suite 101,Reno,NV,89502,775-856-1000,Pacific,IX,,,
78,30140,American Red Cross of Northern New Jersey,R,30R08,New Jersey Region,D27,Northeast Division,209 Fairfield Road,0,Fairfield,NJ,07004,973-797-3300,Eastern,II,,,
79,30076,American Red Cross of Southern New Jersey,C,30R08,New Jersey Region,D27,Northeast Division,5425 Route 70 West,0,Pennsauken,NJ,08109,856-365-7100,Eastern,II,,,
80,31061,American Red Cross of New Mexico,C,03R04,Arizona and New Mexico Region,D22,Southwest and Rocky Mountain Division,2121 Osuna Rd NE,0,Albuquerque,NM,87113,505-265-8514,Mountain,VI,,,
81,32004,American Red Cross of Northeastern New York,R,32R04,Eastern New York Region,D27,Northeast Division,33 Everett Road,0,Albany,NY,12205,518-458-8111,Eastern,II,,,
82,30176,American Red Cross of Central New Jersey,C,30R08,New Jersey Region,D27,Northeast Division,1540 W. Park Avenue,0,Ocean,NJ,07712,609-951-8550,Eastern,II,,,
83,32102,American Red Cross of Hudson Valley New York,C,32R04,Eastern New York Region,D27,Northeast Division,4 Jefferson Plaza,Suite 302,Poughkeepsie,NY,12601,845-471-0200,Eastern,II,,,
84,32036,American Red Cross of Southern Tier New York,C,32R20,Western New York Region,D27,Northeast Division,620 East Main St.,0,Endicott,NY,13760,607-785-7207,Eastern,II,,,
85,32236,American Red Cross of Long Island New York,C,32R16,Greater New York Region,D27,Northeast Division,195 Willis Ave.,0,Mineola,NY,11501,516-747-3500,Eastern,II,,,
86,32336,American Red Cross of Greater Rochester New York,C,32R20,Western New York Region,D27,Northeast Division,50 Prince Street,0,Rochester,NY,14607,585-241-4400,Eastern,II,,,
87,32400,American Red Cross of Central and Northern New York,C,32R04,Eastern New York Region,D27,Northeast Division,344 W Genesee St.,0,Syracuse,NY,13202,315-234-2200,Eastern,II,,,
88,32442,American Red Cross of Metro New York North,C,32R16,Greater New York Region,D27,Northeast Division,99 Indian Field Road,0,Greenwich,CT,06830,203-869-8444,Eastern,I,,,
89,32500,American Red Cross of Greater New York,R,32R16,Greater New York Region,D27,Northeast Division,520 West 49th Street,0,New York,NY,10019,877-733-2767,Eastern,II,,,
90,33029,The American Red Cross serving Western North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,100 Edgewood Rd.,0,Asheville,NC,28804,828-258-3888,Eastern,IV,,,
91,33181,The American Red Cross serving the Charlotte Metro Area,R,33R08,North Carolina Region,D25,Southeast and Caribbean Division,2425 Park Road,0,Charlotte,NC,28203,704-376-1661,Eastern,IV,,,
92,33132,American Red Cross of the Sandhills of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,807 Carol St.,0,Fayetteville,NC,28303,910-867-8151,Eastern,IV,,,
93,33430,American Red Cross of the Greater Triangle Area of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,100 N. Peartree Lane,0,Raleigh,NC,27610,919-231-1602,Eastern,IV,,,
94,34118,American Red Cross serving Eastern North Dakota and Northwest Minnesota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,2602 12th St N,0,Fargo,ND,58102,701-364-1800,Central,VIII,,,
95,33468,American Red Cross of the Cape Fear Area Of North Carolina,C,33R08,North Carolina Region,D25,Southeast and Caribbean Division,1102 South 16TH Street,0,Wilmington,NC,28401,910-762-2683,Eastern,IV,,,
96,34204,American Red Cross serving Western North Dakota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,2021 4th Ave. NW,0,Minot,ND,58703,701-368-4035,Central,VIII,,,
97,35060,"American Red Cross of Heartland, Stark and Muskingum Lakes",C,35R16,Northern Ohio Region,D24,Central Atlantic Division,"408 9th St., SW Unit 1800",0,Canton,OH,44707,330-453-0146,Eastern,V,,,
98,35086,American Red Cross of Greater Columbus Ohio,C,35R12,Central and Southern Ohio Region,D24,Central Atlantic Division,995 E Broad St.,0,Columbus,OH,43205,614-253-2740,Eastern,V,,,
99,35072,American Red Cross of Greater Cincinnati Tri-state,R,35R12,Central and Southern Ohio Region,D24,Central Atlantic Division,2111 Dana Avenue,0,Cincinnati,OH,45207,513-579-3000,Eastern,V,,,
100,35168,American Red Cross of Northeast Ohio,R,35R16,Northern Ohio Region,D24,Central Atlantic Division,3747 Euclid Avenue,0,Cleveland,OH,44115,216-431-3010,Eastern,V,,,
101,35170,American Red Cross of Western Lake Erie,C,35R16,Northern Ohio Region,D24,Central Atlantic Division,1111 Research Dr.,0,Toledo,OH,43614,419-329-2900,Eastern,V,,,
102,35240,American Red Cross of East Central Ohio,C,35R12,Central and Southern Ohio Region,D24,Central Atlantic Division,143 S 30th St.,0,Newark,OH,43055,740-349-9442,Eastern,V,,,
103,35248,American Red Cross of North Central Ohio,C,35R16,Northern Ohio Region,D24,Central Atlantic Division,125 Fair St.,0,Findlay,OH,45840,419-422-9322,Eastern,V,,,
104,35384,American Red Cross of Greater Akron and the Mahoning Valley,C,35R16,Northern Ohio Region,D24,Central Atlantic Division,501 W. Market St.,0,Akron,OH,44303,330-535-6131,Eastern,V,,,
105,36232,American Red Cross serving Central and Southwest Oklahoma,C,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,601 NE 6th St.,0,Oklahoma City,OK,73104,405-228-9500,Central,VI,,,
106,37036,American Red Cross of Central and Eastern Oregon,C,37R04,Cascades Region,D21,Pacific Division,815 SW Bond St,Ste 110,Bend,OR,97702,541-382-2142,Pacific,X,,,
107,36308,American Red Cross serving Tulsa Area Oklahoma,R,36R04,Kansas and Oklahoma Region,D22,Southwest and Rocky Mountain Division,10151 E 11th St.,0,Tulsa,OK,74128,918-831-1100,Central,VI,,,
108,37080,American Red Cross of Southwest Oregon,C,37R04,Cascades Region,D21,Pacific Division,862 Bethel Dr..,0,Eugene,OR,97402,541-344-5244,Pacific,X,,,
109,37104,American Red Cross of Northwest Oregon,R,37R04,Cascades Region,D21,Pacific Division,3131 N Vancouver Avenue,0,Portland,OR,97227,503-284-1234,Pacific,X,,,
110,38116,American Red Cross of Northwestern Pennsylvania,C,38R28,Greater Pennsylvania Region,D27,Northeast Division,4961 Pittsburgh Ave.,0,Erie,PA,16509,814-833-0942,Eastern,III,,,
111,38024,American Red Cross of Pennsylvania Rivers,C,38R28,Greater Pennsylvania Region,D27,Northeast Division,3939 Broadway,0,Allentown,PA,18104,610-865-4400,Eastern,III,,,
112,38196,American Red Cross of Central Pennsylvania,C,38R28,Greater Pennsylvania Region,D27,Northeast Division,1804 N 6th St.,0,Harrisburg,PA,17102,866-311-3832,Eastern,III,,,
113,38300,American Red Cross of Southwestern Pennsylvania,R,38R28,Greater Pennsylvania Region,D27,Northeast Division,2801 Liberty Avenue,0,Pittsburgh,PA,15222,412-263-3100,Eastern,III,,,
114,38332,American Red Cross of Northeastern Pennsylvania,C,38R28,Greater Pennsylvania Region,D27,Northeast Division,256 N Sherman Street,0,Wilkes-Barre,PA,18702,570-823-7161,Eastern,III,,,
115,39004,American Red Cross of Rhode Island,C,07R08,Connecticut and Rhode Island Region,D27,Northeast Division,"100 Niantic Avenue, Suite A",0,Providence,RI,02907,401-831-7700,Eastern,I,,,
116,40104,American Red Cross of UpState South Carolina,C,40R08,South Carolina Region,D25,Southeast and Caribbean Division,940 Grove Road,0,Greenville,SC,29605,864-271-8222,Eastern,IV,,,
117,40120,American Red Cross of Eastern South Carolina,C,40R08,South Carolina Region,D25,Southeast and Caribbean Division,3531 Pampas Drive,0,Myrtle Beach,SC,29577,843-477-0020,Eastern,IV,,,
118,41208,American Red Cross serving Eastern South Dakota,C,23R12,Minnesota and Dakotas Region,D23,North Central Division,2925 E 57th St,0,Sioux Falls,SD,57108,605-336-2448,Central,VIII,,,
119,42170,American Red Cross of Mid-West Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,19 Stonecreek Circle,0,Jackson,TN,38305,731-427-5543,Central,IV,,,
120,42036,American Red Cross of Southeast Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,4115 S Access Road,0,Chattanooga,TN,37406,423-265-3455,Central,IV,,,
121,42204,American Red Cross of Tennessee River,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,1760 Madison Street,0,Clarksville,TN,37043,931-645-6401,Central,IV,,,
122,42296,American Red Cross of Nashville Area,R,42R20,Tennessee Region,D25,Southeast and Caribbean Division,2201 Charlotte Ave.,0,Nashville,TN,37203,615-250-4300,Central,IV,,,
123,42344,American Red Cross Heart of Tennessee,C,42R20,Tennessee Region,D25,Southeast and Caribbean Division,501 Memorial Blvd,0,Murfreesboro,TN,37129,615-893-4272,Central,IV,,,
124,43044,American Red Cross of Southeast & Deep East Texas,C,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,3260 Eastex Freeway,0,Beaumont,TX,77703,409-883-2322,Central,VI,,,
125,43129,American Red Cross serving Central Texas,R,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,2218 Pershing Drive,0,Austin,TX,78723,512-928-4271,Central,VI,,,
126,43092,American Red Cross of South Texas,C,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,6914 West Expressway 83,0,Harlingen,TX,78552,956-423-0523,Central,VI,,,
127,43238,American Red Cross serving DFW West,C,43R16,North Texas Region,D22,Southwest and Rocky Mountain Division,6000 Western Place,Suite 100,Ft Worth,TX,76107,817-335-9137,Central,VI,,,
128,43256,American Red Cross serving West Texas,C,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,3620 Admiral St.,0,El Paso,TX,79925,915-592-0208,Central,VI,,,
129,43338,American Red Cross of Coastal Plains Texas,C,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,,,
130,43336,American Red Cross of  Central Houston,R,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2700 Southwest Freeway,0,Houston,TX,77098,713-526-8300,Central,VI,,,
131,43746,American Red Cross serving Greater San Antonio Texas,C,43R08,Central and South Texas Region,D22,Southwest and Rocky Mountain Division,3642 E. Houston Street,0,San Antonio,TX,78219,210-224-5151,Central,VI,,,
132,44084,American Red Cross of Greater Salt Lake,R,44R04,Utah and Nevada Region,D22,Southwest and Rocky Mountain Division,6616 South 900 East,0,Salt Lake City,UT,84121,801-892-4000,Mountain,VIII,,,
133,46008,American Red Cross of the District of Columbia,R,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,8550 Arlington Blvd,0,Fairfax,VA,22031,703-584-8400,Eastern,III,,,
134,45061,American Red Cross of Vermont,C,29R04,Northern New England Region,D27,Northeast Division,32 N. Prospect Street,0,Burlington,VT,05401,800-464-6692,Eastern,I,,,
135,46036,American Red Cross of Blue Ridge Virginia,C,46R08,Virginia Region,D24,Central Atlantic Division,1007 Sheffield Drive,0,Lynchburg,VA,24502,434-845-1234,Eastern,III,,,
136,46081,American Red Cross of Central Virginia,C,46R08,Virginia Region,D24,Central Atlantic Division,1105 Rose Hill Dr.,0,Charlottesville,VA,22903,434-979-7143,Eastern,III,,,
137,46168,American Red Cross of Rappahannock Virginia,C,46R08,Virginia Region,D24,Central Atlantic Division,2217 Princess Anne Street,Unit B26,Fredericksburg,VA,22401,540-735-0500,Eastern,III,,,
138,46248,American Red Cross of Northern Virginia,C,09R04,National Capital  and Greater Chesapeake Region,D24,Central Atlantic Division,215 Depot Ct. SE,Suite 204,Leesburg,VA,20175,571-293-1771,Eastern,III,,,
139,46380,American Red Cross of Southwest Virginia ,C,46R08,Virginia Region,D24,Central Atlantic Division,352 Church Ave. SW.,0,Roanoke,VA,24016,540-985-3535,Eastern,III,,,
140,46372,American Red Cross of Capital Virginia,R,46R08,Virginia Region,D24,Central Atlantic Division,2825 Emerywood Parkway,0,Richmond,VA,23294,804-780-2250,Eastern,III,,,
141,47018,American Red Cross serving Central and Southeastern Washington,C,47R08,Northwest Region,D21,Pacific Division,7202 W Deschutes Ave,0,Kennewick,WA,99336,509-783-6195,Eastern,X,,,
142,46441,American Red Cross of Coastal Virginia,C,46R08,Virginia Region,D24,Central Atlantic Division,611 W. Brambleton Ave.,0,Norfolk,VA,23510,757-446-7700,Eastern,III,,,
143,47028,American Red Cross of Southwest Washington,C,37R04,Cascades Region,D21,Pacific Division,3114 E 4th Plain Blvd.,0,Vancouver,WA,98661,360-553-3619,Pacific,X,,,
144,47066,The American Red Cross serving the Greater Inland Northwest,C,47R08,Northwest Region,D21,Pacific Division,315 West Nora Avenue,0,Spokane,WA,99205,509-326-3330,Pacific,X,,,
145,47128,American Red Cross serving Northwest Washington,C,47R08,Northwest Region,D21,Pacific Division,2530 Lombard Avenue,0,Everertt,WA,98201,425-252-4103,Pacific,X,,,
146,47116,American Red Cross serving King County,R,47R08,Northwest Region,D21,Pacific Division,1900 25TH Ave.South,0,Seattle,WA,98144,206-323-2345,Pacific,X,,,
147,48036,American Red Cross of the Tri-State,C,48R04,Central Appalachia Region,D24,Central Atlantic Division,1111 Veterans Memorial Blvd.,0,Huntington,WV,25701,800-733-2767,Eastern,III,,,
